time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005000,-0.6513,-0.7678,-2.5434,2.735
0.005000,-0.7041,-0.4795,-2.4129,2.559
0.005000,-0.6718,-0.4752,-2.4176,2.554
0.006000,-0.6148,-0.6166,-2.4033,2.556
0.006000,-0.7006,-0.7397,-2.2322,2.454
0.006000,-0.7792,-0.8503,-2.0559,2.357
0.011000,-0.8302,-0.9442,-1.8512,2.238
0.013000,-0.8021,-1.0940,-1.6718,2.153
0.026000,-0.7195,-1.2236,-1.5523,2.103
0.026000,-0.6182,-1.3290,-1.4754,2.080
0.027000,-0.5504,-1.4220,-1.4748,2.121
0.031000,-0.5446,-1.4449,-1.4625,2.127
0.036000,-0.6151,-1.4593,-1.4322,2.135
0.041000,-0.6212,-1.4508,-1.4316,2.131
0.046000,-0.5011,-1.3761,-1.4824,2.084
0.050000,-0.3459,-1.2973,-1.5463,2.048
0.056000,-0.1721,-1.2097,-1.6164,2.026
0.062000,-0.0346,-1.0819,-1.6931,2.010
0.066000,-0.0290,-0.9519,-1.7527,1.995
0.071000,-0.0715,-0.8289,-1.8292,2.010
0.076000,-0.0953,-0.7509,-1.8917,2.038
0.080000,-0.1100,-0.7225,-1.8783,2.015
0.085000,-0.0322,-0.6626,-1.8867,2.000
0.089000,0.0879,-0.5545,-2.0674,2.142
0.094000,0.3179,-0.4482,-2.3971,2.459
0.100000,0.3716,-0.2521,-2.5253,2.565
0.105000,0.3168,-0.1287,-2.4028,2.427
0.109000,0.2564,-0.1426,-2.0678,2.089
0.114000,0.1761,-0.1677,-1.6918,1.709
0.119000,0.0569,-0.1976,-1.2833,1.300
0.123000,-0.0776,-0.1757,-0.9562,0.975
0.128000,-0.2590,-0.1885,-0.7404,0.807
0.133000,-0.3538,-0.1193,-0.5685,0.680
0.138000,-0.2742,-0.0805,-0.4160,0.505
0.143000,-0.0778,-0.0318,-0.3878,0.397
0.148000,0.0727,0.0984,-0.4622,0.478
0.153000,0.1990,0.3531,-0.5722,0.701
0.158000,0.3153,0.6033,-0.7108,0.984
0.162000,0.5024,0.7993,-1.0192,1.389
0.167000,0.6698,0.9081,-1.3427,1.754
0.172000,0.8062,1.0691,-1.6608,2.133
0.178000,0.8347,1.2353,-1.9027,2.417
0.183000,0.7577,1.3883,-2.1482,2.668
0.191000,0.6348,1.5289,-2.3144,2.845
0.191000,0.4416,1.5738,-2.4040,2.907
0.196000,0.2896,1.5185,-2.4027,2.857
0.201000,0.4794,1.5210,-2.4778,2.947
0.207000,0.5755,1.5433,-2.4226,2.930
0.211000,0.5719,1.4010,-1.9935,2.503
0.216000,0.6910,1.2771,-1.2683,1.928
0.220000,0.7842,1.3208,-0.6733,1.677
0.226000,0.7397,1.3917,-0.3023,1.605
0.230000,0.5924,1.5103,-0.2013,1.635
0.235000,0.3457,1.7027,-0.3642,1.775
0.240000,0.1777,1.7970,-0.7144,1.942
0.245000,0.2279,1.7321,-1.1804,2.108
0.250000,0.3731,1.5284,-1.5837,2.232
0.255000,0.5331,1.3568,-1.9371,2.424
0.260000,0.6619,1.2661,-2.1747,2.602
0.264000,0.8672,1.2471,-2.2137,2.685
0.269000,1.1611,1.2833,-2.1645,2.771
0.274000,1.5258,1.2643,-1.9413,2.774
0.284000,1.9892,1.1561,-1.6755,2.846
0.285000,2.5214,0.9462,-1.4147,3.042
0.289000,3.1168,0.6367,-1.0609,3.353
0.296000,3.5660,0.3036,-0.6762,3.642
0.299000,3.7684,0.0537,-0.4279,3.793
0.303000,3.7972,-0.2234,-0.2490,3.812
0.308000,3.7733,-0.6048,-0.1799,3.826
0.313000,3.5704,-0.9758,-0.2946,3.713
0.319000,3.1924,-1.3437,-0.6855,3.531
0.323000,2.6046,-1.8897,-1.2948,3.469
0.328000,1.7230,-2.5813,-1.9143,3.646
0.332000,2.0507,-2.3585,-2.6300,4.085
0.338000,2.3416,-2.3888,-3.3893,4.762
0.344000,2.3616,-2.7584,-4.4687,5.758
0.349000,2.5661,-3.2013,-5.3633,6.753
0.354000,2.9501,-3.4890,-6.0113,7.551
0.357000,3.2810,-3.6832,-6.5212,8.177
0.363000,3.2924,-3.8549,-6.8773,8.544
0.367000,3.1176,-4.1569,-7.0954,8.794
0.372000,2.8345,-4.6407,-7.1555,8.987
0.382000,2.3453,-5.1886,-6.9986,9.022
0.383000,1.8728,-5.8246,-6.6245,9.018
0.385000,1.4142,-6.4701,-6.3505,9.176
0.390000,1.0441,-6.9630,-6.1563,9.353
0.396000,0.7729,-7.2523,-5.5692,9.177
0.401000,0.5162,-7.5429,-4.8004,8.956
0.406000,0.1723,-7.7996,-4.5214,9.017
0.414000,0.0257,-7.9788,-4.5927,9.206
0.415000,-0.0119,-8.0879,-4.5336,9.272
0.420000,-0.0745,-8.1556,-4.5304,9.330
0.425000,-0.1588,-8.2227,-4.7805,9.513
0.430000,-0.1268,-8.3672,-5.0444,9.771
0.436000,-0.1169,-8.4850,-5.2829,9.996
0.440000,-0.3186,-8.5806,-5.5026,10.198
0.444000,-0.4816,-8.7305,-5.6119,10.390
0.449000,-0.5997,-8.8510,-5.4835,10.429
0.454000,-0.8367,-8.9134,-5.2928,10.400
0.459000,-1.1658,-8.8885,-5.2247,10.376
0.464000,-1.3781,-8.8526,-5.1341,10.326
0.468000,-1.3148,-9.0498,-4.8641,10.358
0.474000,-1.3779,-9.0738,-4.5019,10.222
0.479000,-1.1988,-9.3554,-3.9655,10.232
0.484000,-1.0223,-9.5512,-3.1354,10.105
0.488000,-1.2555,-9.5661,-2.2607,9.910
0.532000,-1.6254,-9.6109,-1.3193,9.836
0.533000,-2.0645,-9.7710,-0.2901,9.991
0.533000,-1.9342,-10.4373,0.0901,10.615
0.539000,-2.6884,-10.1084,0.8991,10.498
0.540000,-3.2739,-9.6117,1.3362,10.241
0.540000,-3.4292,-9.4484,1.0822,10.110
0.541000,-3.1406,-9.7971,0.5004,10.300
0.541000,-2.7231,-9.9140,-0.1337,10.282
0.542000,-2.3035,-9.5726,-0.6142,9.865
0.542000,-1.8205,-9.2120,-1.2279,9.470
0.543000,-1.3764,-8.8896,-1.4656,9.114
0.547000,-0.6997,-8.8889,-1.7745,9.091
0.551000,0.0956,-8.9598,-1.8664,9.153
0.557000,0.7066,-8.6614,-1.4822,8.816
0.561000,1.1633,-8.4390,-0.9973,8.577
0.566000,1.8059,-8.6210,-0.4407,8.819
0.571000,2.3887,-8.5423,0.3224,8.876
0.576000,2.0894,-7.7218,1.4555,8.131
0.580000,2.0385,-7.5865,1.8376,8.068
0.609000,2.4057,-7.9396,2.3538,8.624
0.609000,2.5670,-7.9669,2.6516,8.780
0.609000,2.4803,-7.6764,3.0273,8.616
0.610000,2.3952,-7.5697,3.4284,8.648
0.610000,2.3717,-7.7372,3.6969,8.897
0.610000,1.9191,-6.8726,4.1425,8.251
0.614000,1.6321,-6.7282,4.2463,8.122
0.620000,2.2078,-6.9812,4.2187,8.450
0.624000,2.5821,-6.6750,3.9688,8.184
0.629000,3.0295,-6.1197,3.8289,7.829
0.634000,4.0150,-5.7195,3.7134,7.913
0.638000,5.3629,-5.3716,3.5531,8.381
0.644000,6.6103,-4.8665,3.4088,8.888
0.648000,7.6322,-4.3277,3.3689,9.398
0.653000,8.3902,-3.8879,3.2650,9.807
0.658000,8.9188,-3.6475,3.3031,10.186
0.663000,9.0880,-3.5397,3.4999,10.362
0.667000,8.9741,-3.4049,3.6681,10.275
0.673000,8.6913,-3.4216,3.7606,10.069
0.679000,8.3177,-3.6279,3.8237,9.847
0.682000,7.7494,-3.7940,3.8783,9.460
0.688000,7.0141,-3.8068,4.0315,8.941
0.693000,6.5626,-3.9606,4.2416,8.760
0.699000,6.4140,-4.0470,4.4746,8.806
0.702000,6.3834,-4.1477,4.6642,8.928
0.707000,7.3422,-3.7406,5.0668,9.673
0.712000,8.8822,-3.0625,5.6344,10.955
0.718000,10.6574,-2.3548,6.5254,12.716
0.721000,11.9537,-2.1746,6.7054,13.877
0.726000,12.5454,-2.2738,6.3534,14.245
0.731000,12.7684,-2.2781,6.1753,14.365
0.736000,11.6850,-0.4296,7.1759,13.719
0.740000,10.0326,0.1833,8.3131,13.030
0.746000,9.8550,-0.4615,9.1388,13.448
0.750000,10.0583,-0.3779,10.0893,14.252
0.756000,10.0814,0.4886,11.5165,15.313
0.760000,10.3779,1.2339,13.0738,16.738
0.766000,11.2801,1.9389,14.3834,18.382
0.770000,12.4490,2.7757,15.0757,19.747
0.780000,13.4250,3.8485,14.9624,20.467
0.781000,14.2383,4.9735,13.8929,20.506
0.786000,14.7230,5.9055,12.1530,19.983
0.792000,14.8458,6.7023,10.1197,19.176
0.795000,14.6726,7.2696,8.0522,18.247
0.799000,14.0941,7.8024,6.4171,17.341
0.804000,13.4907,8.0868,5.4766,16.655
0.809000,13.0702,8.1502,5.3195,16.296
0.831000,13.0523,8.0371,5.8126,16.393
0.832000,13.1364,7.9855,6.8226,16.819
0.832000,13.3194,8.0834,8.2202,17.616
0.832000,13.6526,8.0809,9.5367,18.511
0.833000,13.9770,7.9481,10.4988,19.203
0.839000,14.0912,7.6869,11.0075,19.463
0.844000,13.9284,7.3856,11.2745,19.382
0.847000,13.5255,7.0904,11.3739,19.042
0.854000,12.9581,6.7474,11.3261,18.486
0.860000,12.3851,6.4082,11.2489,17.916
0.862000,11.8720,6.0857,11.1363,17.378
0.868000,11.3907,5.7326,10.9372,16.800
0.872000,10.8274,5.3357,10.7150,16.140
0.877000,10.2926,4.9888,10.5054,15.530
0.881000,9.7509,4.6826,10.2272,14.886
0.886000,9.2287,4.4196,9.9067,14.242
0.892000,8.7380,4.1015,9.4371,13.499
0.906000,8.1573,3.7814,8.8914,12.645
0.906000,7.5830,3.3715,8.3418,11.767
0.907000,6.9914,3.0609,7.9038,10.987
0.911000,6.3781,2.8618,7.4872,10.244
0.916000,5.8628,2.5709,7.1547,9.601
0.921000,5.3961,2.2779,6.8732,9.030
0.925000,4.9587,2.1164,6.6238,8.541
0.930000,4.5983,2.0453,6.3283,8.086
0.935000,4.3145,1.9302,5.9069,7.565
0.940000,3.9804,1.7923,5.4221,6.961
0.947000,3.5936,1.7314,4.8642,6.291
0.950000,3.2073,1.6242,4.3157,5.617
0.955000,2.9027,1.4679,3.8962,5.075
0.959000,2.6269,1.3890,3.5147,4.603
0.965000,2.1223,1.3851,3.0849,3.992
0.969000,1.9625,1.1187,2.5969,3.442
0.974000,1.8966,0.6583,1.9389,2.791
0.980000,1.0872,0.2017,1.3018,1.708
0.985000,-1.3677,-1.4571,0.2350,2.012
0.990000,-0.8609,0.6111,0.2341,1.081
0.993000,0.1758,1.9919,1.5758,2.546
1.002000,0.0055,0.4726,0.9700,1.079
1.003000,-0.3431,-0.8192,-0.1599,0.902
1.008000,-0.7175,-0.7240,-0.4872,1.130
1.013000,-0.9337,-0.3861,-0.0804,1.014
1.018000,-1.0513,-0.6730,-0.0237,1.249
1.024000,-1.1445,-1.1178,-0.1849,1.610
1.027000,-1.3175,-1.3843,-0.3016,1.935
1.033000,-1.4510,-1.6182,-0.3200,2.197
1.038000,-1.6573,-1.8526,-0.3040,2.504
1.042000,-1.9722,-2.1922,-0.4090,2.977
1.047000,-2.1925,-2.6683,-0.6442,3.513
1.051000,-2.2579,-3.0993,-0.9523,3.951
1.057000,-2.2454,-3.3265,-1.1594,4.177
1.063000,-2.2626,-3.3980,-1.2535,4.270
1.066000,-2.3455,-3.5219,-1.3448,4.440
1.071000,-2.4033,-3.7348,-1.3708,4.648
1.076000,-2.4094,-3.9609,-1.2837,4.811
1.082000,-2.4456,-4.0938,-1.1240,4.899
1.087000,-2.4735,-4.2438,-0.8674,4.988
1.091000,-2.5242,-4.4684,-0.6052,5.168
1.117000,-2.5832,-4.6133,-0.3725,5.300
1.117000,-2.7334,-4.8391,-0.1517,5.560
1.118000,-2.9101,-5.0717,0.0187,5.847
1.118000,-3.0796,-5.1497,0.1807,6.003
1.118000,-3.2179,-5.1657,0.2883,6.093
1.119000,-3.4134,-5.2243,0.2455,6.245
1.124000,-3.5732,-5.3586,0.0435,6.441
1.130000,-3.6662,-5.4947,-0.3264,6.614
1.134000,-3.7433,-5.5707,-0.7552,6.754
1.139000,-3.8669,-5.5885,-1.1938,6.900
1.144000,-3.9394,-5.5938,-1.4788,7.000
1.149000,-3.9753,-5.7217,-1.5671,7.141
1.153000,-4.0152,-5.8954,-1.5416,7.298
1.158000,-4.1543,-6.0252,-1.3835,7.448
1.163000,-4.2538,-6.1800,-0.9459,7.562
1.169000,-4.3188,-6.4566,-0.4601,7.782
1.173000,-4.2780,-6.6611,-0.1286,7.918
1.180000,-4.1506,-6.8546,0.1053,8.014
1.184000,-4.1255,-7.0388,0.3754,8.167
1.188000,-4.2459,-7.2916,0.4475,8.450
1.213000,-4.2224,-7.6034,0.3744,8.705
1.214000,-4.1366,-7.7971,0.3403,8.833
1.214000,-4.1512,-7.9837,0.2398,9.002
1.214000,-3.9599,-8.2471,0.1538,9.150
1.214000,-4.1771,-8.1224,-0.0313,9.134
1.218000,-4.2286,-8.1311,0.0038,9.165
1.222000,-5.6419,-7.6657,0.2142,9.521
1.226000,-4.1974,-8.5800,-0.0454,9.552
