left,right
0.49190306663513184,0.28908586502075195
0.42887115478515625,0.3166029453277588
0.5613691806793217,0.48913478851318315
0.5881099700927734,0.42627692222595215
0.5441699028015137,0.483410120010376
0.4555211067199716,0.5522749423980713
0.5396609306335449,0.45817995071410955
0.564890146255494,0.4419369697570801
0.5623269081115723,0.4688861370086652
0.5343890190124547,0.4989438056945801
0.5519032478332502,0.5090780258178711
0.5682649612426758,0.43562889099121094
0.5074717998504639,0.500169038772583
0.5660898685455322,0.5185091495513916
0.5535011291503906,0.4417581558227539
0.4938516616821289,0.5034370422363281
0.5585460662841797,0.4540090560913086
0.5474467277526855,0.4902181625366211
0.5406899452209437,0.46688032150268555
0.5039100646972656,0.5330157279968297
0.5028359889984166,0.49466705322265625
0.5147488117218018,0.4928781986236537
0.5519838333129918,0.5290400981903076
0.5338358879089284,0.46531105041503906
0.5029249191284215,0.4991321563720703
0.5336232185363805,0.4591770172119105
0.5176539421081543,0.4945549964904785
0.49843120574950817,0.5089578628540075
0.5276429653167725,0.4701569080352783
0.5491938591003418,0.48840999603271484
0.5447349548339844,0.48873329162597656
0.56746506690979,0.4326348304748535
0.5544610023498535,0.4401979446411133
0.5940220355987691,0.4009389877319265
0.5338268280029297,0.46547603607177024
0.5125131607055735,0.49941301345824485
0.5175011157989431,0.4800229072570801
0.5289828777313303,0.4887831211090159
0.5470659732818604,0.47054600715636496
0.5497779846191406,0.48856186866760254
0.5014917850494527,0.5993411540985036
0.5406837463378906,0.4544253349304057
0.4966280460357666,0.5005540847778391
0.5193910598754812,0.5071837902069163
0.5178649425506663,0.47824621200560813
0.5087337493896484,0.528907060623169
0.5349009037017822,0.49899721145629883
0.5146758556365967,0.4961111545562744
0.49842190742492676,0.5187840461730957
0.5319330692291189,0.5294840335845947
0.5581707954406738,0.45531511306763406
0.6408531665802002,0.43914103507995605
0.5686988830566406,0.4360818862915039
0.48871707916260476,0.5185799598693848
0.5536532402038503,0.5292129516601562
0.503680944442749,0.495560884475708
0.5388083457946848,0.51190185546875
0.5881268978118896,0.46872997283934836
0.5498199462890625,0.5289938449859619
0.5172719955444265,0.4988582134246897
0.5190041065216064,0.5184469223022532
0.5270960330963064,0.5423018932342529
0.5610790252685547,0.5063459873199463
0.5038490295410156,0.49814796447753906
0.5634129047393941,0.4971890449523926
0.5725378990173198,0.4588351249694682
0.5189499855041504,0.5145449638366699
0.5582511425018595,0.5086989402770996
0.5424149036407755,0.5490889549255087
0.5435001850128316,0.4549601078033163
0.4933781623840332,0.6031646728515625
0.5187201499938823,0.5043020248413086
0.5091660022735738,0.49868178367616167
0.5702478885650635,0.4883861541747905
0.5000779628753804,0.5058000087737895
