step,distance,time,height,pace,range
40.0,46.4558610916138,3749.8993409955774,171,0.8610323662092401,3
40.0,46.45880889892575,3775.066931389021,171,0.8609777337818254,3
39.0,46.42945313453674,3843.9889785894848,171,0.8399840482073153,3
39.0,46.429896116256714,4620.510130460512,171,0.8399760340265924,3
40.0,46.434805870056096,4401.770718803695,171,0.861422789446706,3
40.0,46.47145414352417,5199.188351085797,171,0.8607434550350525,3
40.0,46.461486101150456,4715.431841322366,171,0.860928122551154,3
41.0,46.45424485206604,4321.314890689829,171,0.8825888813942594,3
40.0,46.45275998115551,4083.5507124172673,171,0.8610898473250416,3
41.0,46.44235610961914,4420.012116341629,171,0.8828148146322852,3
22.0,26.499189853668213,945.6204774191517,170,0.8302140601839795,2
22.0,26.484408855438232,964.9930602178605,170,0.8306774042072902,2
23.0,26.5049090385437,879.5511489968924,170,0.867763777893113,2
22.0,26.520359039306612,885.6033381860884,170,0.8295513634409378,2
22.0,26.504162073135404,957.5357616433711,170,0.8300583108152354,2
23.0,26.494646072387724,1128.4567194151857,170,0.8680999148718659,2
23.0,26.478228092193575,1146.771919365398,170,0.8686381853014159,2
23.0,26.51749086380005,1268.4799092480098,170,0.867352047678014,2
15.0,21.331,556.6341800391847,168,0.7032019127092026,2
15.0,21.302,484.2587665008464,168,0.7041592338747535,2
19.0,19.02,445.7006579786066,158,0.9989484752891693,1
15.0,18.995999999999995,621.363965310938,158,0.7896399241945675,1
31.0,38.807353019714355,4592.461658970702,169,0.7988176875720389,2
30.0,38.79862070083621,3202.165214827192,169,0.7732233635654326,2
29.0,38.781513690948486,2037.8485058793283,169,0.7477789606435226,2
32.0,38.81396293640137,2385.1750402627595,169,0.8244455752285231,2
32.0,38.82155919075012,1469.330149877301,169,0.824284255116279,2
33.0,38.80511403083801,1217.6250936249853,169,0.8504033765697802,2
33.0,38.798871994018555,1344.2626854557502,169,0.8505401910933766,2
32.0,38.77996397018438,1252.3558941250094,169,0.8251683788206432,2
32.0,38.80438423156744,2037.7525782103235,169,0.8246490862743272,2
34.0,38.819732666015796,2287.3413881801303,169,0.8758432288165867,2
42.0,43.245309829711914,1427.6373191178554,165,0.9712035863631086,2
42.0,43.23497295379639,1245.8852615357837,165,0.9714357875251557,2
40.0,43.22730398178106,1122.112345620973,165,0.9253410764839447,2
41.0,43.24919700622553,1030.696176227384,165,0.9479944793911025,2
41.0,43.25731205940241,1146.1522232419234,165,0.9478166360336354,2
41.0,43.24898409843439,817.8317275923995,165,0.9479991462154181,2
39.0,43.25501823425293,986.9184847648467,165,0.9016294892951068,2
40.0,43.263554096221924,1148.9075287494863,165,0.9245657421264214,2
42.0,43.27273392677307,1572.648274583581,165,0.9705880860468207,2
41.0,43.24963998794556,1435.926333528213,165,0.9479847696172137,2
