time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006000,-0.7650,-0.5002,-2.1677,2.353
0.006000,-0.7792,-0.6482,-1.9967,2.239
0.006000,-0.7962,-0.8105,-1.6963,2.042
0.006000,-0.9141,-0.8159,-1.2332,1.738
0.007000,-1.0378,-0.8301,-0.7667,1.534
0.007000,-1.0508,-0.8730,-0.3055,1.400
0.008000,-1.0487,-0.9262,0.0542,1.400
0.012000,-0.9671,-0.9715,0.2734,1.398
0.018000,-0.8442,-0.9999,0.3131,1.346
0.022000,-0.7869,-1.0047,0.2434,1.299
0.034000,-0.8517,-0.9693,0.1460,1.299
0.035000,-0.9785,-0.8801,0.0883,1.319
0.037000,-1.0435,-0.7943,-0.0708,1.313
0.042000,-1.0639,-0.7211,-0.2620,1.312
0.047000,-1.0872,-0.6388,-0.5119,1.361
0.051000,-1.1344,-0.5970,-0.8565,1.542
0.058000,-0.9886,-0.5712,-1.1813,1.643
0.061000,-0.6147,-0.6873,-1.5086,1.768
0.066000,-0.5903,-0.7822,-1.6602,1.928
0.072000,-0.6784,-0.8705,-1.7009,2.028
0.075000,-0.4573,-1.0093,-1.5882,1.937
0.080000,-0.0287,-1.2273,-1.2581,1.758
0.085000,-0.1320,-1.3056,-1.2351,1.802
0.090000,-0.1190,-1.2943,-1.3205,1.853
0.095000,-0.1254,-1.2773,-1.2660,1.803
0.100000,-0.3590,-1.1063,-1.3895,1.812
0.105000,-0.6623,-1.0273,-1.3472,1.819
0.109000,-0.6001,-1.0876,-1.4523,1.911
0.114000,-0.2666,-1.1846,-1.3651,1.827
0.120000,-0.0531,-1.2754,-1.1240,1.701
0.129000,0.0365,-1.3182,-0.8358,1.561
0.130000,0.0681,-1.2689,-0.5806,1.397
0.134000,0.1216,-1.1173,-0.4949,1.228
0.139000,0.1234,-0.8882,-0.5560,1.055
0.144000,0.1508,-0.5323,-0.6535,0.856
0.148000,-0.0483,-0.2978,-0.9495,0.996
0.154000,-0.2731,-0.1051,-1.2412,1.275
0.159000,-0.3712,0.0392,-1.4528,1.500
0.163000,-0.5228,0.2332,-1.7400,1.832
0.168000,-0.7065,0.3410,-2.0858,2.228
0.173000,-0.7197,0.3705,-2.3500,2.485
0.178000,-0.6170,0.2843,-2.4355,2.528
0.183000,-0.3747,0.0188,-2.1765,2.209
0.189000,-0.1394,-0.3279,-2.0103,2.042
0.192000,0.0689,-0.6434,-1.8412,1.952
0.197000,0.4580,-0.8443,-1.5048,1.785
0.203000,0.9566,-0.7857,-1.1136,1.665
0.208000,1.3248,-0.4784,-0.8228,1.631
0.212000,1.5709,-0.1375,-0.6701,1.713
0.216000,1.7240,0.0773,-0.5839,1.822
0.221000,1.7414,0.1625,-0.5337,1.829
0.228000,1.5866,0.1378,-0.5434,1.683
0.231000,1.3280,0.0803,-0.6061,1.462
0.237000,1.0603,0.0739,-0.7456,1.298
0.241000,0.8855,0.1303,-0.9952,1.338
0.246000,0.7389,0.2807,-1.2546,1.483
0.250000,0.6757,0.4535,-1.4479,1.661
0.256000,0.6672,0.4870,-1.3637,1.594
0.260000,0.5675,0.2200,-1.0627,1.225
0.266000,0.1732,-0.2320,-0.6176,0.682
0.271000,-0.4949,-0.5009,0.0165,0.704
0.275000,-1.1286,-0.3196,0.5831,1.310
0.279000,-1.4224,-0.0494,1.0107,1.746
0.284000,-1.1874,0.1539,1.5627,1.969
0.291000,-1.2122,1.0662,1.3341,2.094
0.294000,-1.3682,1.7413,1.9102,2.925
0.299000,-1.4458,2.6508,3.1440,4.359
0.304000,-0.5409,3.1825,2.5994,4.145
0.309000,0.0306,3.0699,1.6811,3.500
0.314000,0.2668,2.3509,0.9673,2.556
0.320000,0.3679,1.1960,0.8921,1.537
0.325000,0.3606,0.1669,1.2985,1.358
0.328000,0.4654,-0.4297,1.7870,1.896
0.334000,0.5513,-0.6163,2.2548,2.402
0.338000,0.6549,-0.4821,2.7992,2.915
0.343000,0.9967,-0.0805,3.2363,3.387
0.348000,1.4772,0.4824,3.2495,3.602
0.353000,2.0921,1.1181,2.7874,3.660
0.358000,2.3871,1.7770,2.3707,3.805
0.362000,2.2512,2.3358,2.1991,3.919
0.367000,1.6482,2.7046,2.0255,3.760
